Version:          1.14.0.16
Cleared Swamp Owl Grass                            -> Fairy
Cleared Swamp Potion Shop Pot                      -> 10 Arrows
Cleared Swamp Potion Shop Pot 2                    -> 10 Arrows
Kotake                                             -> Swamp Skulltula Spirit
Kotake Mushroom Sale                               -> Large Magic Jar
Koume                                              -> Room Key
Mystery Woods Grotto                               -> Red Rupee
Near Swamp Spider House Grotto                     -> Bombchu
Pictograph Contest Good Photo                      -> Fierce Deity's Mask
Pictograph Contest Standard Photo                  -> 5 Bombs
Pictograph Contest Winner                          -> Snowhead Small Key
Potion Shop Pot                                    -> Blue Rupee
Potion Shop Pot 2                                  -> Piece of Heart
Southern Swamp Owl Grass                           -> Great Bay Stray Fairy
Swamp Music Statue                                 -> Small Magic Jar
Swamp Near Frog Hive                               -> Stone Tower Stray Fairy
Swamp Scrub Purchase                               -> 30 Arrows
Swamp Scrub Trade                                  -> Piece of Heart
Swamp Skulltula Gold Room Hive                     -> Small Magic Jar
Swamp Skulltula Gold Room Near Ceiling             -> 5 Bombs
Swamp Skulltula Gold Room Pillar                   -> Red Rupee
Swamp Skulltula Gold Room Wall                     -> Heart Container
Swamp Skulltula Main Room Jar                      -> Blue Rupee
Swamp Skulltula Main Room Lower Left Soft Soil     -> Bomb Bag**
Swamp Skulltula Main Room Lower Right Soft Soil    -> Deku Stick
Swamp Skulltula Main Room Near Ceiling             -> Keaton Mask
Swamp Skulltula Main Room Pillar                   -> Blue Rupee
Swamp Skulltula Main Room Upper Pillar             -> Blue Rupee
Swamp Skulltula Main Room Upper Soft Soil          -> Large Magic Jar
Swamp Skulltula Main Room Water                    -> Large Magic Jar
Swamp Skulltula Monument Room Crate 1              -> Large Magic Jar
Swamp Skulltula Monument Room Crate 2              -> Moon's Tear
Swamp Skulltula Monument Room Lower Wall           -> Green Rupee
Swamp Skulltula Monument Room On Monument          -> Woodfall Stray Fairy
Swamp Skulltula Monument Room Torch                -> Swamp Skulltula Spirit
Swamp Skulltula Pot Room Behind Vines              -> Large Magic Jar
Swamp Skulltula Pot Room Hive 1                    -> 10 Arrows
Swamp Skulltula Pot Room Hive 2                    -> Woodfall Stray Fairy
Swamp Skulltula Pot Room Jar                       -> Red Rupee
Swamp Skulltula Pot Room Pot 1                     -> Map of Clock Town
Swamp Skulltula Pot Room Pot 2                     -> Large Magic Jar
Swamp Skulltula Pot Room Wall                      -> 10 Arrows
Swamp Skulltula Tree Room Grass 1                  -> Stone Tower Compass
Swamp Skulltula Tree Room Grass 2                  -> Stone Tower Stray Fairy
Swamp Skulltula Tree Room Hive                     -> Woodfall Small Key
Swamp Skulltula Tree Room Tree 1                   -> Blue Rupee
Swamp Skulltula Tree Room Tree 2                   -> Don Gero's Mask
Swamp Skulltula Tree Room Tree 3                   -> Green Rupee
Swamp Spider House Gold Room Soft Soil             -> Song of Healing
Swamp Spider House Reward                          -> Milk
Swamp Spider House Rock Soft Soil                  -> Blue Rupee
Swamp Tourist Center Roof                          -> Large Magic Jar
Witch Shop Blue Potion                             -> Red Rupee
Witch Shop Green Potion                            -> Deku Stick
Witch Shop Red Potion                              -> Large Magic Jar

 Deku Palace
Bean Grotto                                        -> Large Magic Jar
Bean Grotto Soft Soil                              -> Red Rupee
Bean Man                                           -> Map of Stone Tower
Butler                                             -> 5 Bombs
Butler Race Dual Pot                               -> Small Magic Jar
Deku Palace Pot                                    -> Swamp Skulltula Spirit
Deku Palace Pot 2                                  -> Blue Rupee
Deku Palace Soft Soil                              -> Silver Rupee
Deku Palace West Garden                            -> Small Magic Jar
Imprisoned Monkey                                  -> 10 Arrows

 Woodfall
Behind Woodfall Owl Chest                          -> 5 Bombs
Entrance to Woodfall Chest                         -> Great Bay Map
Woodfall Bridge Chest                              -> Spin Attack
Woodfall Great Fairy                               -> Romani's Mask
Woodfall Pot                                       -> Small Magic Jar
Woodfall Pot 2                                     -> Green Rupee

 Woodfall Temple
Hero's Bow Chest                                   -> 30 Arrows
Odolwa Heart Container                             -> Purple Rupee
Woodfall Boss Key Chest                            -> Milk
Woodfall Bridge Room Hive                          -> Blue Rupee
Woodfall Compass Chest                             -> Green Rupee
Woodfall Dark Room                                 -> Red Rupee
Woodfall Deku Baba                                 -> Epona's Song**
Woodfall Entrance Fairy                            -> Green Rupee
Woodfall Entrance Platform                         -> Purple Rupee
Woodfall Jar Fairy                                 -> 50 Arrows
Woodfall Main Room Bubble                          -> Red Rupee
Woodfall Main Room Switch                          -> Purple Rupee
Woodfall Map Chest                                 -> Piece of Heart
Woodfall Platform Room Hive                        -> Stone Tower Stray Fairy
Woodfall Poison Water Bubble                       -> Bombers' Notebook
Woodfall Pre-Boss Lower Right Bubble               -> Woodfall Stray Fairy
Woodfall Pre-Boss Pillar Bubble                    -> Green Rupee
Woodfall Pre-Boss Upper Left Bubble                -> Lens of Truth*
Woodfall Pre-Boss Upper Right Bubble               -> Stone Tower Map
Woodfall Skulltula                                 -> Small Magic Jar
Woodfall Small Key Chest                           -> Red Rupee
Woodfall Temple Entrance Hive                      -> 5 Bombs
Woodfall Temple Gekko Room Pot                     -> Deku Stick
Woodfall Temple Gekko Room Pot 2                   -> Blue Rupee
Woodfall Temple Gekko Room Pot 3                   -> Small Magic Jar
Woodfall Temple Gekko Room Pot 4                   -> Small Magic Jar

 Mountain Village
Darmani                                            -> 10 Arrows
Frog Choir                                         -> Stone Tower Stray Fairy
Goron Graveyard Snowball                           -> Stone Tower Small Key*
Goron Graveyard Snowball 2                         -> 10 Arrows
Hungry Goron                                       -> 10 Arrows
Mountain Smithy Day 1                              -> Red Rupee
Mountain Smithy Day 2                              -> Bunny Hood
Mountain Spring Grotto                             -> Great Bay Boss Key**
Mountain Village Day 1 Snowball                    -> 30 Arrows
Mountain Village Day 2 Snowball                    -> 10 Arrows
Mountain Village Day 2 Snowball 2                  -> Great Fairy's Mask
Mountain Village Day 3 Snowball                    -> Swamp Skulltula Spirit
Mountain Village Spring Keaton Grass               -> Piece of Heart
Mountain Village Spring Keaton Grass 2             -> Red Rupee
Mountain Village Spring Keaton Grass 3             -> Piece of Heart
Mountain Village Spring Keaton Grass 4             -> Piece of Heart
Mountain Village Spring Keaton Grass 5             -> Hero's Shield
Mountain Village Spring Keaton Grass 6             -> Piece of Heart
Mountain Village Spring Keaton Grass 7             -> Small Magic Jar
Mountain Village Spring Keaton Grass 8             -> Silver Rupee
Mountain Village Spring Keaton Grass 9             -> 10 Arrows
Mountain Village Spring Snowball                   -> 10 Arrows
Mountain Village Spring Snowball 2                 -> Green Rupee
Mountain Village Spring Snowball 3                 -> Large Magic Jar
Mountain Village Winter Small Snowball             -> Blue Rupee
Mountain Village Winter Small Snowball 2           -> Razor Sword*
Mountain Village Winter Small Snowball 3           -> Small Magic Jar
Mountain Village Winter Small Snowball 4           -> Magic Power*
Mountain Village Winter Small Snowball 5           -> Great Bay Stray Fairy
Mountain Waterfall Chest                           -> Green Rupee
Path to Mountain Village Small Snowball            -> Swamp Skulltula Spirit
Path to Mountain Village Spring Snowball           -> Small Magic Jar
Path to Mountain Village Spring Snowball 2         -> Small Magic Jar
Path to Mountain Village Spring Snowball 3         -> Blue Rupee

 Twin Islands
Goron Race                                         -> Large Magic Jar
Goron Racetrack Grotto                             -> Snowhead Stray Fairy
Goron Racetrack Pot                                -> Large Magic Jar
Goron Racetrack Pot 10                             -> Large Magic Jar
Goron Racetrack Pot 11                             -> Garo's Mask*
Goron Racetrack Pot 12                             -> Map of Romani Ranch
Goron Racetrack Pot 13                             -> Snowhead Small Key
Goron Racetrack Pot 14                             -> Blue Rupee
Goron Racetrack Pot 15                             -> Blue Potion
Goron Racetrack Pot 16                             -> 5 Bombs
Goron Racetrack Pot 17                             -> Map of Snowhead
Goron Racetrack Pot 18                             -> 30 Arrows
Goron Racetrack Pot 19                             -> Snowhead Stray Fairy
Goron Racetrack Pot 2                              -> Clock Town Stray Fairy
Goron Racetrack Pot 20                             -> Seahorse
Goron Racetrack Pot 21                             -> New Wave Bossa Nova**
Goron Racetrack Pot 22                             -> 10 Bombs
Goron Racetrack Pot 23                             -> Red Rupee
Goron Racetrack Pot 24                             -> Green Rupee
Goron Racetrack Pot 25                             -> Bombchu
Goron Racetrack Pot 26                             -> Blue Rupee
Goron Racetrack Pot 27                             -> Sonata of Awakening**
Goron Racetrack Pot 28                             -> Large Magic Jar
Goron Racetrack Pot 29                             -> Small Magic Jar
Goron Racetrack Pot 3                              -> Stone Tower Boss Key**
Goron Racetrack Pot 30                             -> Song of Storms
Goron Racetrack Pot 4                              -> Blue Rupee
Goron Racetrack Pot 5                              -> Red Rupee
Goron Racetrack Pot 6                              -> 10 Deku Nuts
Goron Racetrack Pot 7                              -> Ocean Skulltula Spirit
Goron Racetrack Pot 8                              -> Heart Container
Goron Racetrack Pot 9                              -> Small Magic Jar
Hot Spring Water Grotto                            -> Red Rupee
Twin Islands Cave Chest                            -> Swamp Skulltula Spirit
Twin Islands Day 1 Snowball                        -> Blue Potion
Twin Islands Day 1 Snowball 2                      -> Large Magic Jar
Twin Islands Day 1 Snowball 3                      -> 10 Arrows
Twin Islands Day 1 Snowball 4                      -> 10 Arrows
Twin Islands Day 1 Snowball 5                      -> Large Magic Jar
Twin Islands Day 2 Snowball                        -> Green Rupee
Twin Islands Day 2 Snowball 2                      -> 10 Arrows
Twin Islands Day 2 Snowball 3                      -> Large Quiver
Twin Islands Day 2 Snowball 4                      -> Woodfall Boss Key**
Twin Islands Day 3 Snowball                        -> Swamp Skulltula Spirit
Twin Islands Day 3 Snowball 2                      -> Piece of Heart
Twin Islands Day 3 Snowball 3                      -> Mountain Title Deed
Twin Islands Day 3 Snowball 4                      -> Swamp Skulltula Spirit
Twin Islands Day 3 Snowball 5                      -> Purple Rupee
Twin Islands Ramp Snowball                         -> Blue Rupee
Twin Islands Small Snowball                        -> Blue Rupee
Twin Islands Small Snowball 2                      -> Swamp Skulltula Spirit
Twin Islands Underwater Ramp Chest                 -> Blue Rupee

 Goron Village
Baby Goron                                         -> 10 Bombchu
Biggest Bomb Bag Purchase                          -> 30 Arrows
Goron Shop 10 Arrows                               -> Large Magic Jar
Goron Shop 10 Bombs                                -> Blue Rupee
Goron Shop Red Potion                              -> Woodfall Stray Fairy
Goron Shrine Pot                                   -> Hero's Shield
Goron Shrine Pot 10                                -> Deku Stick
Goron Shrine Pot 11                                -> Great Bay Stray Fairy
Goron Shrine Pot 2                                 -> Piece of Heart
Goron Shrine Pot 3                                 -> Small Magic Jar
Goron Shrine Pot 4                                 -> Bombchu
Goron Shrine Pot 5                                 -> 5 Bombs
Goron Shrine Pot 6                                 -> Woodfall Stray Fairy
Goron Shrine Pot 7                                 -> Large Magic Jar
Goron Shrine Pot 8                                 -> Blue Rupee
Goron Shrine Pot 9                                 -> Blue Rupee
Goron Village Large Snowball                       -> Blue Rupee
Goron Village Large Snowball 2                     -> Blue Rupee
Goron Village Large Snowball 3                     -> Small Magic Jar
Goron Village Large Snowball 4                     -> Couple's Mask**
Goron Village Large Snowball 5                     -> 30 Arrows
Goron Village Large Snowball 6                     -> 30 Arrows
Goron Village Ledge                                -> 10 Arrows
Goron Village Small Snowball                       -> Large Magic Jar
Goron Village Small Snowball 10                    -> Woodfall Stray Fairy
Goron Village Small Snowball 2                     -> Blue Rupee
Goron Village Small Snowball 3                     -> Swamp Skulltula Spirit
Goron Village Small Snowball 4                     -> Piece of Heart
Goron Village Small Snowball 5                     -> Small Magic Jar
Goron Village Small Snowball 6                     -> Small Magic Jar
Goron Village Small Snowball 7                     -> 10 Arrows
Goron Village Small Snowball 8                     -> Blue Rupee
Goron Village Small Snowball 9                     -> Piece of Heart
Lens Cave Invisible Chest                          -> Great Bay Small Key*
Lens Cave Rock Chest                               -> Snowhead Stray Fairy
Lens of Truth Chest                                -> Magic Bean
Mountain Scrub Trade                               -> Large Magic Jar
Powder Keg Challenge                               -> Ocean Skulltula Spirit

 Path to Snowhead
Path to Snowhead Grotto                            -> Map of Woodfall
Path to Snowhead Large Snowball                    -> Biggest Bomb Bag
Path to Snowhead Large Snowball 2                  -> Red Rupee
Path to Snowhead Large Snowball 3                  -> 10 Arrows
Path to Snowhead Large Snowball 4                  -> Ocean Skulltula Spirit
Path to Snowhead Pillar                            -> Postman's Hat
Path to Snowhead Spring Snowball                   -> Red Potion
Path to Snowhead Spring Snowball 2                 -> Green Rupee
Path to Snowhead Spring Snowball 3                 -> Large Magic Jar
Path to Snowhead Spring Snowball 4                 -> Great Bay Stray Fairy

 Snowhead
Snowhead Great Fairy                               -> Blue Rupee
Snowhead Large Snowball                            -> Gold Rupee
Snowhead Large Snowball 2                          -> Red Rupee
Snowhead Large Snowball 3                          -> Kamaro's Mask
Snowhead Large Snowball 4                          -> Woodfall Stray Fairy
Snowhead Large Snowball 5                          -> Small Magic Jar
Snowhead Large Snowball 6                          -> Large Magic Jar
Snowhead Small Snowball                            -> 5 Bombs
Snowhead Small Snowball 2                          -> Ocean Skulltula Spirit
Snowhead Small Snowball 3                          -> Stone Tower Small Key*

 Snowhead Temple
Fire Arrow Chest                                   -> Snowhead Stray Fairy
Goht Heart Container                               -> Large Magic Jar
Snowhead Basement                                  -> Large Magic Jar
Snowhead Block Room Chest                          -> Stone Tower Stray Fairy
Snowhead Boss Key Chest                            -> Piece of Heart
Snowhead Bridge Room Chest                         -> Ocean Skulltula Spirit
Snowhead Bridge Room Ledge Bubble                  -> Purple Rupee
Snowhead Bridge Room Pillar Bubble                 -> Heart Container
Snowhead Ceiling Bubble                            -> Blue Rupee
Snowhead Compass Chest                             -> 10 Deku Nuts
Snowhead Crate                                     -> Red Rupee
Snowhead Dinolfos 1                                -> Piece of Heart
Snowhead Dinolfos 2                                -> Snowhead Stray Fairy
Snowhead Ice Puzzle                                -> 10 Arrows
Snowhead Icicle Room Chest                         -> Swamp Skulltula Spirit
Snowhead Icicle Room Wall                          -> Snowhead Stray Fairy
Snowhead Main Room Wall                            -> Large Magic Jar
Snowhead Map Chest                                 -> Snowhead Small Key
Snowhead Map Room Fairy                            -> Purple Rupee
Snowhead Map Room Ledge                            -> Blue Rupee
Snowhead Pillar Freezards                          -> Swamp Skulltula Spirit
Snowhead Snow Room Bubble                          -> Large Magic Jar
Snowhead Temple Elevator Room Crate                -> Deku Stick
Snowhead Temple Elevator Room Crate 2              -> Mask of Scents
Snowhead Temple Elevator Room Crate 3              -> 30 Arrows
Snowhead Temple Elevator Room Crate 4              -> Swamp Skulltula Spirit
Snowhead Temple Elevator Room Crate 5              -> 10 Arrows
Snowhead Temple Icicle Room Snowball               -> Ocean Skulltula Spirit
Snowhead Temple Icicle Room Snowball 2             -> Snowhead Stray Fairy
Snowhead Temple Icicle Room Snowball 3             -> 10 Arrows
Snowhead Temple Icicle Room Snowball 4             -> 10 Arrows
Snowhead Temple Icicle Room Snowball 5             -> Red Rupee
Snowhead Temple Safety Bridge Pot                  -> Red Rupee
Snowhead Temple Safety Bridge Pot 2                -> Piece of Heart
Snowhead Twin Block                                -> Red Rupee

 Milk Road
Gorman Bros Milk Purchase                          -> Red Rupee
Gorman Bros Race                                   -> Small Magic Jar
Great Bay Map Purchase                             -> Swamp Skulltula Spirit
Milk Road Grass                                    -> Great Bay Stray Fairy
Milk Road Grass 2                                  -> Red Rupee
Milk Road Keaton Grass                             -> Swamp Skulltula Spirit
Milk Road Keaton Grass 2                           -> Ocean Skulltula Spirit
Milk Road Keaton Grass 3                           -> 10 Arrows
Milk Road Keaton Grass 4                           -> Swamp Skulltula Spirit
Milk Road Keaton Grass 5                           -> Crimson Rupee
Milk Road Keaton Grass 6                           -> Purple Rupee
Milk Road Keaton Grass 7                           -> Small Magic Jar
Milk Road Keaton Grass 8                           -> 10 Arrows
Milk Road Keaton Grass 9                           -> Bottle with Milk
Romani Ranch Map Purchase                          -> Ocean Skulltula Spirit

 Romani Ranch
Aliens Defense                                     -> Blue Rupee
Cremia                                             -> Blue Rupee
Cucco Shack Crate                                  -> Green Rupee
Cucco Shack Potted Plant                           -> Small Magic Jar
Dog Race                                           -> Green Rupee
Doggy Racetrack Pot                                -> Small Magic Jar
Doggy Racetrack Pot 2                              -> Purple Rupee
Doggy Racetrack Pot 3                              -> Small Magic Jar
Doggy Racetrack Pot 4                              -> Small Magic Jar
Doggy Racetrack Roof Chest                         -> Pictobox
Doggy Racetrack Soft Soil                          -> Hero's Bow**
Grog                                               -> Blue Rupee
Ranch Cow #1                                       -> Milk
Ranch Cow #2                                       -> 30 Arrows
Ranch Cow #3                                       -> Great Bay Stray Fairy
Ranch Crate                                        -> Green Rupee
Ranch Day 1 Soil                                   -> Heart Container
Ranch Day 2 or 3 Soil                              -> Green Rupee
Romani's Game                                      -> Blue Rupee

 Great Bay Coast
Baby Zoras                                         -> Piece of Heart
Fisherman Game                                     -> Green Rupee
Fisherman Pictograph                               -> Stone Tower Stray Fairy
Great Bay Coast Grotto                             -> Small Magic Jar
Great Bay Coast Grotto Cow #1                      -> Swamp Skulltula Spirit
Great Bay Coast Grotto Cow #2                      -> Green Rupee
Great Bay Coast Ledge                              -> Stone Tower Stray Fairy
Great Bay Coast Ledge Pot                          -> Large Magic Jar
Great Bay Coast Ledge Pot 2                        -> Swamp Skulltula Spirit
Great Bay Coast Ledge Pot 3                        -> 10 Arrows
Great Bay Coast Pot                                -> Great Bay Stray Fairy
Great Bay Coast Pot 2                              -> Red Potion
Great Bay Coast Pot 3                              -> 30 Arrows
Great Bay Coast Pot 4                              -> 30 Arrows
Great Bay Coast Pot 5                              -> Woodfall Stray Fairy
Great Bay Coast Pot 6                              -> Captain's Hat*
Great Bay Coast Pot 7                              -> Red Rupee
Great Bay Coast Soft Soil                          -> Small Magic Jar
Lab Fish                                           -> Ocean Skulltula Spirit
Mikau                                              -> Large Magic Jar
Ocean Skulltula 2nd Room Behind Skull 1            -> Snowhead Stray Fairy
Ocean Skulltula 2nd Room Behind Skull 2            -> Stone Tower Stray Fairy
Ocean Skulltula 2nd Room Ceiling Edge              -> Ocean Skulltula Spirit
Ocean Skulltula 2nd Room Ceiling Plank             -> Giant's Mask**
Ocean Skulltula 2nd Room Jar                       -> 30 Arrows
Ocean Skulltula 2nd Room Lower Pot                 -> Small Magic Jar
Ocean Skulltula 2nd Room Upper Pot                 -> Blast Mask
Ocean Skulltula 2nd Room Webbed Hole               -> Piece of Heart
Ocean Skulltula 2nd Room Webbed Pot                -> Red Rupee
Ocean Skulltula Colored Skulls Behind Picture      -> Small Magic Jar
Ocean Skulltula Colored Skulls Ceiling Edge        -> Swamp Title Deed
Ocean Skulltula Colored Skulls Chandelier 1        -> Stone Tower Small Key*
Ocean Skulltula Colored Skulls Chandelier 2        -> Ocean Skulltula Spirit
Ocean Skulltula Colored Skulls Chandelier 3        -> Swamp Skulltula Spirit
Ocean Skulltula Colored Skulls Pot                 -> Empty Bottle
Ocean Skulltula Entrance Left Wall                 -> Bombchu
Ocean Skulltula Entrance Right Wall                -> Swamp Skulltula Spirit
Ocean Skulltula Entrance Web                       -> Heart Container
Ocean Skulltula Library Behind Bookcase 1          -> Small Magic Jar
Ocean Skulltula Library Behind Bookcase 2          -> Green Rupee
Ocean Skulltula Library Behind Picture             -> Red Rupee
Ocean Skulltula Library Ceiling Edge               -> Large Magic Jar
Ocean Skulltula Library Hole Behind Cabinet        -> Small Magic Jar
Ocean Skulltula Library Hole Behind Picture        -> Snowhead Compass
Ocean Skulltula Library On Corner Bookshelf        -> 5 Bombs
Ocean Skulltula Storage Room Behind Boat           -> Great Bay Stray Fairy
Ocean Skulltula Storage Room Behind Crate          -> Ocean Skulltula Spirit
Ocean Skulltula Storage Room Ceiling Web           -> Bottle with Gold Dust
Ocean Skulltula Storage Room Crate                 -> Piece of Heart
Ocean Skulltula Storage Room Jar                   -> 5 Bombs
